date,time,symbol,direction,result,entry_price,orh,orl,prev_close,day_high,day_low,exit_price,exit_reason,PnL_%,equity_curve,cumulative_pnl
2026-03-23,09:45:14,HDFCLIFE,SELL,WIN,604.65,611.35,606.1,623.65,604.45,603.0,603.31,Trailing Stop,0.22,117.55787319844887,17.557873198448874
2026-03-23,09:45:14,INFY,BUY,LOSS,1251.6,1245.7,1233.7,1220.8,1251.6,1243.2,1251.01,Trailing Stop,-0.05,117.49909426184965,17.49909426184965
2026-03-23,09:45:14,JINDALSTEL,SELL,WIN,1141.8,1169.8,1143.9,1186.5,1138.2,1133.8,1134.81,Trailing Stop,0.61,118.21583873684693,18.215838736846933
2026-03-23,09:45:14,M&MFIN,SELL,WIN,299.4,302.6,300.3,308.35,300.35,298.55,298.72,Trailing Stop,0.23,118.48773516594167,18.48773516594167
2026-03-23,09:45:14,SBICARD,SELL,WIN,670.5,675.35,671.4,688.75,671.3,669.2,669.42,Trailing Stop,0.16,118.67731554220718,18.677315542207182
2026-03-23,09:45:14,SIEMENS,SELL,WIN,3050.0,3089.6,3055.0,3129.6,3030.7,3012.1,3016.39,Trailing Stop,1.1,119.98276601317144,19.982766013171442
2026-03-23,09:50:55,ABB,SELL,WIN,6145.0,6222.0,6180.5,6297.0,6117.0,6100.0,6108.05,Trailing Stop,0.6,120.70266260925047,20.702662609250467
2026-03-23,09:50:55,ADANIENT,SELL,WIN,1877.0,1893.5,1879.7,1927.1,1879.5,1866.3,1867.64,Trailing Stop,0.5,121.3061759222967,21.306175922296703
2026-03-23,09:50:55,ADANIGREEN,SELL,WIN,840.55,848.0,841.55,863.1,843.5,836.7,837.19,Trailing Stop,0.4,121.79140062598589,21.791400625985887
2026-03-23,09:50:55,ALKEM,SELL,WIN,5145.0,5209.5,5176.5,5257.5,5172.5,5133.0,5137.35,Trailing Stop,0.15,121.97408772692488,21.97408772692488
2026-03-23,09:50:55,BAJAJHLDNG,SELL,WIN,9313.0,9389.0,9326.0,9512.0,9306.0,9280.0,9281.5,Target (Midpoint),0.34,122.38879962519643,22.388799625196427
2026-03-23,09:50:55,BANKINDIA,SELL,WIN,144.66,145.93,144.98,150.49,145.45,144.15,144.19,Target (Midpoint),0.32,122.78044378399707,22.78044378399707
2026-03-23,09:50:55,BDL,SELL,WIN,1208.6,1220.6,1211.7,1249.9,1206.3,1201.5,1202.52,Trailing Stop,0.5,123.39434600291705,23.394346002917047
2026-03-23,09:50:55,BEL,SELL,WIN,412.7,417.9,414.15,426.1,411.95,410.5,410.83,Target (Midpoint),0.45,123.94962055993017,23.949620559930167
2026-03-23,09:50:55,BIOCON,SELL,WIN,372.2,377.4,373.45,380.95,373.3,370.8,371.06,Trailing Stop,0.31,124.33386438366597,24.33386438366597
2026-03-23,09:50:55,BPCL,SELL,WIN,274.6,280.6,275.5,287.8,274.15,272.8,273.07,Trailing Stop,0.56,125.0301340242145,25.030134024214505
