symbol,open,high,low,close,ORH,ORL,last_close,signal,time
GRASIM,2960.0,2960.0,2935.0,2935.300048828125,2960.0,2935.0,2950.39990234375,Inside Range,15:25
HAL,4694.0,4694.0,4658.0,4667.0,4694.0,4658.0,4650.0,BREAKDOWN ↓ (close below ORL),15:25
HAVELLS,1513.9000244140625,1513.9000244140625,1503.699951171875,1503.699951171875,1513.9000244140625,1503.699951171875,1506.300048828125,Inside Range,15:25
HCLTECH,1557.300048828125,1557.5999755859375,1547.199951171875,1549.5,1557.5999755859375,1547.199951171875,1549.800048828125,Inside Range,15:25
HDFCAMC,5405.5,5418.5,5352.0,5374.0,5418.5,5352.0,5385.0,Inside Range,15:25
HDFCBANK,1002.9000244140625,1006.0999755859375,1002.9000244140625,1004.2000122070312,1006.0999755859375,1002.9000244140625,998.1500244140625,BREAKDOWN ↓ (close below ORL),15:25
HDFCLIFE,760.3499755859375,760.3499755859375,753.1500244140625,753.25,760.3499755859375,753.1500244140625,746.2000122070312,BREAKDOWN ↓ (close below ORL),15:25
HEROMOTOCO,5565.0,5576.0,5531.0,5555.5,5576.0,5531.0,5502.0,BREAKDOWN ↓ (close below ORL),15:25
HINDALCO,853.25,855.0999755859375,850.4500122070312,853.7999877929688,855.0999755859375,850.4500122070312,862.5,BREAKOUT ↑ (close above ORH),15:25
HINDPETRO,475.3999938964844,475.3999938964844,465.0,471.6499938964844,475.3999938964844,465.0,469.75,Inside Range,15:25
HINDUNILVR,2494.89990234375,2494.89990234375,2478.5,2483.89990234375,2494.89990234375,2478.5,2470.0,BREAKDOWN ↓ (close below ORL),15:25
HINDZINC,481.79998779296875,481.79998779296875,478.0,479.6499938964844,481.79998779296875,478.0,477.6000061035156,BREAKDOWN ↓ (close below ORL),15:25
HUDCO,235.5399932861328,236.17999267578125,234.0500030517578,235.0,236.17999267578125,234.0500030517578,240.0,BREAKOUT ↑ (close above ORH),15:25
HYUNDAI,2361.0,2408.800048828125,2361.0,2397.89990234375,2408.800048828125,2361.0,2413.699951171875,BREAKOUT ↑ (close above ORH),15:25
ICICIBANK,1364.0,1370.0,1364.0,1368.5999755859375,1370.0,1364.0,1362.4000244140625,BREAKDOWN ↓ (close below ORL),15:25
ICICIGI,2024.5,2032.0,2017.5999755859375,2023.199951171875,2032.0,2017.5999755859375,2014.0999755859375,BREAKDOWN ↓ (close below ORL),15:25
IDEA,9.239999771118164,9.239999771118164,8.829999923706055,8.859999656677246,9.239999771118164,8.829999923706055,8.729999542236328,BREAKDOWN ↓ (close below ORL),15:25
IDFCFIRSTB,79.3499984741211,79.8499984741211,79.22000122070312,79.3499984741211,79.8499984741211,79.22000122070312,78.93000030517578,BREAKDOWN ↓ (close below ORL),15:25
IGL,211.5500030517578,211.9199981689453,210.11000061035156,211.05999755859375,211.9199981689453,210.11000061035156,211.92999267578125,BREAKOUT ↑ (close above ORH),15:25
INDHOTEL,746.2000122070312,751.8499755859375,745.2999877929688,750.5,751.8499755859375,745.2999877929688,751.5,Inside Range,15:25
INDIANB,858.2999877929688,859.5,852.6500244140625,854.1500244140625,859.5,852.6500244140625,853.75,Inside Range,15:25
INDIGO,5825.0,5840.0,5796.5,5828.5,5840.0,5796.5,5725.0,BREAKDOWN ↓ (close below ORL),15:25
INDUSINDBK,800.0499877929688,807.4500122070312,800.0499877929688,807.0,807.4500122070312,800.0499877929688,800.9500122070312,Inside Range,15:25
INDUSTOWER,378.0,378.0,368.5,371.54998779296875,378.0,368.5,368.25,BREAKDOWN ↓ (close below ORL),15:25
INFY,1506.699951171875,1507.0999755859375,1500.5,1502.300048828125,1507.0999755859375,1500.5,1493.800048828125,BREAKDOWN ↓ (close below ORL),15:25
IOC,163.08999633789062,163.66000366210938,162.36000061035156,163.27999877929688,163.66000366210938,162.36000061035156,163.6999969482422,BREAKOUT ↑ (close above ORH),15:25
IRB,44.84000015258789,44.970001220703125,44.79999923706055,44.849998474121094,44.970001220703125,44.79999923706055,44.599998474121094,BREAKDOWN ↓ (close below ORL),15:25
IRCTC,730.6500244140625,732.9500122070312,727.9500122070312,732.4000244140625,732.9500122070312,727.9500122070312,730.4000244140625,Inside Range,15:25
IREDA,155.89999389648438,156.66000366210938,154.86000061035156,155.5,156.66000366210938,154.86000061035156,153.74000549316406,BREAKDOWN ↓ (close below ORL),15:25
IRFC,124.83000183105469,126.25,124.80999755859375,125.25,126.25,124.80999755859375,124.0,BREAKDOWN ↓ (close below ORL),15:25
ITC,421.25,421.25,416.20001220703125,418.8500061035156,421.25,416.20001220703125,419.3500061035156,Inside Range,15:25
ITCHOTELS,219.0,219.25,218.35000610351562,219.1199951171875,219.25,218.35000610351562,217.10000610351562,BREAKDOWN ↓ (close below ORL),15:25
JINDALSTEL,1071.5,1071.5,1062.0,1062.5,1071.5,1062.0,1071.0,Inside Range,15:25
JIOFIN,310.1499938964844,311.5,309.70001220703125,311.0,311.5,309.70001220703125,309.70001220703125,Inside Range,15:25
JSWENERGY,536.6500244140625,536.6500244140625,532.2999877929688,533.0,536.6500244140625,532.2999877929688,539.0,BREAKOUT ↑ (close above ORH),15:25
JSWSTEEL,1209.800048828125,1209.800048828125,1201.5,1203.0999755859375,1209.800048828125,1201.5,1210.0,BREAKOUT ↑ (close above ORH),15:25
JUBLFOOD,612.4000244140625,612.9000244140625,609.1500244140625,609.75,612.9000244140625,609.1500244140625,614.0,BREAKOUT ↑ (close above ORH),15:25
KALYANKJIL,510.95001220703125,512.9500122070312,508.54998779296875,509.6000061035156,512.9500122070312,508.54998779296875,513.0,BREAKOUT ↑ (close above ORH),15:25
KEI,4097.0,4103.89990234375,4085.300048828125,4093.0,4103.89990234375,4085.300048828125,4098.0,Inside Range,15:25
KOTAKBANK,2149.89990234375,2150.199951171875,2138.0,2144.60009765625,2150.199951171875,2138.0,2140.5,Inside Range,15:25
KPITTECH,1195.9000244140625,1195.9000244140625,1178.0999755859375,1183.5999755859375,1195.9000244140625,1178.0999755859375,1172.0,BREAKDOWN ↓ (close below ORL),15:25
LICHSGFIN,592.4500122070312,592.5499877929688,579.4000244140625,580.0,592.5499877929688,579.4000244140625,572.0999755859375,BREAKDOWN ↓ (close below ORL),15:25
LICI,910.6500244140625,910.6500244140625,902.5499877929688,903.4500122070312,910.6500244140625,902.5499877929688,900.9000244140625,BREAKDOWN ↓ (close below ORL),15:25
LODHA,1188.5,1189.800048828125,1177.800048828125,1179.199951171875,1189.800048828125,1177.800048828125,1175.9000244140625,BREAKDOWN ↓ (close below ORL),15:25
LT,4000.60009765625,4049.89990234375,4000.60009765625,4048.0,4049.89990234375,4000.60009765625,3989.5,BREAKDOWN ↓ (close below ORL),15:25
LTF,267.45001220703125,271.95001220703125,267.45001220703125,270.8999938964844,271.95001220703125,267.45001220703125,268.29998779296875,Inside Range,15:25
LTIM,5674.0,5684.5,5637.5,5653.5,5684.5,5637.5,5706.0,BREAKOUT ↑ (close above ORH),15:25
LUPIN,1956.0,1956.0,1938.300048828125,1939.9000244140625,1956.0,1938.300048828125,1945.800048828125,Inside Range,15:25
M&M,3540.0,3549.300048828125,3517.699951171875,3527.199951171875,3549.300048828125,3517.699951171875,3502.10009765625,BREAKDOWN ↓ (close below ORL),15:25
M&MFIN,317.75,322.04998779296875,317.1000061035156,318.45001220703125,322.04998779296875,317.1000061035156,314.1000061035156,BREAKDOWN ↓ (close below ORL),15:25
MANKIND,2448.10009765625,2448.10009765625,2427.10009765625,2430.89990234375,2448.10009765625,2427.10009765625,2446.60009765625,Inside Range,15:25
MARICO,718.8499755859375,722.5499877929688,717.7000122070312,720.7000122070312,722.5499877929688,717.7000122070312,721.5,Inside Range,15:25
MARUTI,16178.0,16185.0,16084.0,16168.0,16185.0,16084.0,16206.0,BREAKOUT ↑ (close above ORH),15:25
MAXHEALTH,1187.800048828125,1188.9000244140625,1176.0,1177.5999755859375,1188.9000244140625,1176.0,1175.5,BREAKDOWN ↓ (close below ORL),15:25
MAZDOCK,2783.10009765625,2783.10009765625,2749.0,2768.0,2783.10009765625,2749.0,2742.0,BREAKDOWN ↓ (close below ORL),15:25
MFSL,1521.300048828125,1534.800048828125,1514.800048828125,1534.300048828125,1534.800048828125,1514.800048828125,1556.199951171875,BREAKOUT ↑ (close above ORH),15:25
